dataset,fsn,saa,azimuth,length,width,num_pixels,charge
2014-04-16,5142675,True,106.521,14.213,2.617,21,46180.328
2014-04-16,5142675,True,67.572,24.633,2.656,51,183237.750
2014-04-16,5142675,True,97.286,16.783,7.257,30,84149.922
2014-04-16,5142675,True,90.202,13.019,4.770,30,60232.672
2014-04-16,5142675,True,42.879,16.951,6.457,50,175263.078
2014-04-16,5142675,True,69.001,10.215,3.662,33,97256.078
2014-04-16,5142675,True,59.921,21.123,3.465,31,54564.078
2014-04-16,5142675,True,66.518,16.945,2.750,26,77966.328
2014-04-16,5142675,True,46.906,28.700,2.887,54,148853.500
2014-04-16,5142675,True,53.448,75.357,4.861,146,361780.906
2014-04-16,5142675,True,97.042,11.788,5.434,26,44760.664
2014-04-16,5142675,True,57.163,15.870,2.202,23,39687.836
2014-04-16,5142675,True,66.481,11.175,4.032,25,80295.086
2014-04-16,5142675,True,31.226,13.393,10.712,47,124774.906
2014-04-16,5142675,True,76.086,14.284,3.263,32,69996.914
2014-04-16,5142675,True,57.723,37.500,9.877,77,147791.328
2014-04-16,5142675,True,177.546,17.370,4.764,33,70330.750
2014-04-16,5142675,True,42.629,15.923,1.724,32,174756.766
2014-04-16,5142675,True,80.210,13.895,9.442,46,158455.422
2014-04-16,5142675,True,91.713,8.518,3.745,26,79852.172
2014-04-16,5142675,True,107.176,14.639,4.746,33,82824.500
2014-04-16,5142675,True,16.494,12.134,9.705,44,85251.336
2014-04-16,5142675,True,157.157,9.919,3.578,28,40839.336
2014-04-16,5142675,True,29.102,19.505,4.333,44,142041.578
2014-04-16,5142675,True,55.470,16.937,1.860,26,122172.578
2014-04-16,5142675,True,56.994,15.953,2.561,34,91069.586
2014-04-16,5142675,True,42.715,14.892,3.096,37,89734.336
2014-04-16,5142675,True,55.556,11.874,7.118,34,114186.828
2014-04-16,5142675,True,50.999,18.033,3.924,29,41632.496
2014-04-16,5142675,True,37.545,16.909,5.791,46,138553.078
2014-04-16,5142675,True,66.412,16.572,2.220,35,100242.164
2014-04-16,5142675,True,56.843,12.964,3.120,31,88081.422
2014-04-16,5142675,True,59.395,13.348,2.757,34,120663.914
2014-04-16,5142675,True,150.709,14.807,6.783,35,78139.000
2014-04-16,5142675,True,29.695,15.923,9.130,52,69052.500
2014-04-16,5142675,True,56.622,32.765,2.977,56,154785.250
2014-04-16,5142675,True,157.038,14.154,8.558,58,156119.172
2014-04-16,5142675,True,53.295,13.358,2.822,27,67826.250
2014-04-16,5142675,True,60.279,30.046,1.225,44,264754.062
2014-04-16,5142675,True,70.514,12.148,5.498,38,161530.500
2014-04-16,5142675,True,82.806,16.692,7.192,50,237478.734
2014-04-16,5142675,True,58.312,13.496,2.247,30,103442.180
2014-04-16,5142675,True,61.356,17.272,2.574,24,62293.086
2014-04-16,5142675,True,8.128,12.102,4.575,24,59899.250
2014-04-16,5142675,True,38.034,86.395,3.821,129,284934.656
2014-04-16,5142675,True,61.244,33.488,4.749,79,260276.219
2014-04-16,5142675,True,159.650,15.819,3.391,39,117806.984
2014-04-16,5142675,True,56.105,22.374,1.195,30,67618.844
2014-04-16,5142675,True,80.579,11.820,2.758,20,82788.586
2014-04-16,5142675,True,59.782,26.177,1.409,54,765026.438
2014-04-16,5142675,True,71.127,16.764,2.255,25,66681.414
2014-04-16,5142675,True,88.814,22.739,6.043,56,126139.844
2014-04-16,5142675,True,69.304,13.599,4.036,33,85941.758
2014-04-16,5142675,True,59.944,17.332,1.342,26,40084.586
2014-04-16,5142675,True,52.199,20.330,3.059,44,87771.750
2014-04-16,5142675,True,53.774,25.986,3.185,57,496065.000
2014-04-16,5142675,True,69.184,13.934,1.669,39,408613.938
2014-04-16,5142675,True,45.260,15.755,6.466,67,211484.344
2014-04-16,5142675,True,65.622,14.399,4.147,38,190381.578
2014-04-16,5142675,True,38.974,158.946,6.578,269,634143.250
2014-04-16,5142675,True,95.782,15.290,2.582,21,37548.414
2014-04-16,5142675,True,66.834,17.493,3.333,40,129434.742
2014-04-16,5142675,True,53.698,19.314,2.318,28,55721.828
2014-04-16,5142675,True,63.605,28.599,3.358,45,93490.250
2014-04-16,5142675,True,75.653,13.067,5.675,44,95413.336
2014-04-16,5142675,True,95.186,23.138,1.588,32,110014.750
2014-04-16,5142675,True,52.525,59.702,12.000,351,1837179.750
2014-04-16,5142675,True,117.011,18.932,4.081,41,98753.266
2014-04-16,5142675,True,66.113,22.078,2.399,35,84960.758
2014-04-16,5142675,True,67.165,14.122,3.855,34,57776.250
2014-04-16,5142675,True,58.673,19.399,2.663,36,116328.406
2014-04-16,5142675,True,58.316,13.576,2.973,47,232444.656
2014-04-16,5142675,True,49.326,14.763,3.728,36,189379.172
2014-04-16,5142675,True,62.973,13.864,3.199,34,100979.578
2014-04-16,5142675,True,72.328,27.338,10.901,124,323398.250
2014-04-16,5142675,True,69.102,20.426,2.964,36,76495.500
2014-04-16,5142675,True,80.099,27.850,6.019,64,152342.906
2014-04-16,5142675,True,11.797,11.192,6.621,36,83209.914
2014-04-16,5142675,True,52.077,19.372,4.895,49,130971.680
2014-04-16,5142675,True,50.992,13.589,8.767,39,81518.164
2014-04-16,5142675,True,17.386,13.746,9.028,46,117385.906
2014-04-16,5142675,True,54.913,31.432,8.282,79,169916.594
2014-04-16,5142675,True,45.177,16.196,3.627,45,145257.594
2014-04-16,5142675,True,62.074,18.950,2.571,39,78798.172
2014-04-16,5142675,True,16.365,15.816,5.760,37,76366.914
2014-04-16,5142675,True,91.468,14.770,12.813,85,235221.656
2014-04-16,5142675,True,18.803,22.249,5.242,61,179266.750
2014-04-16,5142675,True,11.120,10.878,5.350,31,103079.344
2014-04-16,5142675,True,42.677,17.871,2.727,34,112775.344
2014-04-16,5142675,True,22.425,24.469,2.169,50,463474.406
2014-04-16,5142675,True,86.307,13.833,7.786,47,116078.922
2014-04-16,5142675,True,80.565,18.120,4.171,37,79986.672
2014-04-16,5142675,True,50.261,18.624,4.130,35,96991.000
2014-04-16,5142675,True,66.236,28.780,2.374,44,138768.344
2014-04-16,5142675,True,35.379,18.455,5.640,43,83215.094
2014-04-16,5142675,True,41.753,13.780,5.336,37,69619.836
2014-04-16,5142675,True,62.935,14.102,6.254,43,64128.086
2014-04-16,5142675,True,15.713,25.109,6.614,57,148185.672
2014-04-16,5142675,True,90.222,13.564,2.543,21,115266.586
2014-04-16,5142675,True,81.481,17.474,1.222,18,22661.336
2014-04-16,5142675,True,78.728,12.302,5.922,42,113781.500
2014-04-16,5142675,True,68.138,10.232,2.791,26,66518.992
2014-04-16,5142675,True,175.066,23.043,4.800,56,234023.344
2014-04-16,5142675,True,72.342,13.778,3.355,25,65648.172
2014-04-16,5142675,True,65.612,15.672,1.559,25,56971.164
2014-04-16,5142675,True,39.172,31.451,4.681,52,177487.906
2014-04-16,5142675,True,51.849,26.841,7.219,79,308777.938
2014-04-16,5142675,True,38.498,264.229,5.940,406,915800.812
2014-04-16,5142675,True,73.597,15.360,6.298,37,87197.750
2014-04-16,5142675,True,145.858,16.014,9.863,69,149814.000
2014-04-16,5142675,True,95.622,12.469,8.045,39,84453.164
2014-04-16,5142675,True,64.785,28.857,5.735,59,142623.078
2014-04-16,5142675,True,116.676,26.648,11.582,66,129250.008
2014-04-16,5142675,True,64.470,13.963,5.738,42,83248.172
2014-04-16,5142675,True,39.640,12.905,5.633,41,84604.508
2014-04-16,5142675,True,109.523,13.967,4.877,27,92370.000
2014-04-16,5142675,True,61.121,14.417,4.535,26,45270.582
2014-04-16,5142675,True,60.565,18.268,7.431,34,86245.750
2014-04-16,5142675,True,56.041,11.757,6.458,41,105526.906
2014-04-16,5142675,True,116.088,13.674,6.012,35,65736.828
2014-04-16,5142675,True,65.078,16.237,3.890,26,61514.000
2014-04-16,5142675,True,62.966,14.956,4.453,30,88497.836
2014-04-16,5142675,True,59.308,20.894,3.359,49,121105.000
2014-04-16,5142675,True,105.942,12.669,4.652,35,64254.922
2014-04-16,5142675,True,77.225,13.197,5.938,41,99554.922
2014-04-16,5142675,True,78.565,9.114,3.175,27,84015.172
2014-04-16,5142675,True,72.178,19.339,8.856,49,94623.328
2014-04-16,5142675,True,13.760,9.108,2.850,30,117802.328
2014-04-16,5142675,True,85.010,12.253,4.267,28,89239.836
2014-04-16,5142675,True,37.781,13.650,1.901,29,116494.578
2014-04-16,5142675,True,54.385,29.767,1.991,48,73044.336
2014-04-16,5142675,True,12.765,20.516,2.357,37,99190.992
2014-04-16,5142675,True,46.836,18.288,3.165,32,43902.336
2014-04-16,5142675,True,68.950,14.790,2.001,20,54815.406
2014-04-16,5142675,True,38.388,63.208,8.125,190,619612.562
2014-04-16,5142675,True,45.286,22.170,6.237,79,200688.156
2014-04-16,5142675,True,76.683,11.090,2.796,21,48089.164
2014-04-16,5142675,True,17.217,16.551,2.974,23,35310.418
2014-04-16,5142675,True,44.980,14.347,3.100,34,101036.000
2014-04-16,5142675,True,41.678,14.550,4.379,32,67113.500
2014-04-16,5142675,True,89.632,12.215,3.538,29,97704.258
2014-04-16,5142675,True,72.153,14.148,1.405,25,141917.250
2014-04-16,5142675,True,61.966,16.446,1.766,35,115629.258
2014-04-16,5142675,True,86.951,14.279,2.810,28,98894.508
2014-04-16,5142675,True,48.476,23.131,1.294,39,55253.332
2014-04-16,5142675,True,68.327,13.139,6.364,36,60163.582
2014-04-16,5142675,True,51.917,44.719,3.769,70,134643.828
2014-04-16,5142675,True,71.369,13.434,3.462,30,56801.672
2014-04-16,5142675,True,57.540,12.938,1.413,25,73547.000
2014-04-16,5142675,True,84.527,22.457,10.091,84,193853.156
2014-04-16,5142675,True,68.334,29.729,6.496,76,168212.172
2014-04-16,5142675,True,67.957,43.892,3.224,81,131182.078
2014-04-16,5142675,True,62.440,14.508,3.910,27,101137.328
2014-04-16,5142675,True,61.292,21.531,2.587,34,167307.000
2014-04-16,5142675,True,52.030,14.425,4.275,52,237967.312
2014-04-16,5142675,True,67.567,20.157,3.324,59,294781.094
2014-04-16,5142675,True,40.925,23.486,7.211,58,167219.906
2014-04-16,5142675,True,40.000,14.711,3.875,35,55912.422
2014-04-16,5142675,True,58.470,24.108,2.138,38,82157.086
2014-04-16,5142675,True,37.924,14.652,3.671,30,87874.906
2014-04-16,5142675,True,47.688,18.947,2.581,28,46930.082
2014-04-16,5142675,True,66.944,16.175,5.635,43,120636.164
2014-04-16,5142675,True,72.408,16.184,3.106,29,100302.828
2014-04-16,5142675,True,41.320,15.753,6.670,41,126094.094
2014-04-16,5142675,True,57.403,13.592,5.918,42,78629.242
2014-04-16,5142675,True,54.678,15.352,2.472,36,195745.422
2014-04-16,5142675,True,75.176,13.505,2.126,41,330337.312
2014-04-16,5142675,True,100.489,15.455,3.137,29,68526.250
2014-04-16,5142675,True,52.454,20.681,3.953,47,116306.922
2014-04-16,5142675,True,67.001,13.813,2.387,20,36952.000
2014-04-16,5142675,True,5.829,13.675,7.626,38,74219.586
2014-04-16,5142675,True,58.273,18.559,6.123,56,105689.922
2014-04-16,5142675,True,50.906,16.141,5.525,37,89833.422
2014-04-16,5142675,True,171.545,15.881,4.919,35,81600.414
2014-04-16,5142675,True,145.885,14.613,9.515,51,169095.922
2014-04-16,5142675,True,38.735,14.904,4.948,39,57769.582
2014-04-16,5142675,True,59.293,14.979,10.463,56,125690.836
2014-04-16,5142675,True,86.678,10.450,4.659,40,152878.406
2014-04-16,5142675,True,83.614,18.160,1.432,27,165596.922
2014-04-16,5142675,True,26.462,15.175,3.662,22,24943.916
2014-04-16,5142675,True,23.443,12.610,7.016,46,136224.906
2014-04-16,5142675,True,58.878,13.902,7.037,47,119973.344
2014-04-16,5142675,True,49.529,11.363,4.720,34,62539.160
2014-04-16,5142675,True,55.331,19.707,2.744,36,86113.164
2014-04-16,5142675,True,64.611,17.928,2.189,39,252492.031
2014-04-16,5142678,True,64.630,14.332,1.662,20,87762.008
2014-04-16,5142678,True,11.477,12.400,3.538,20,37155.168
2014-04-16,5142678,True,58.372,13.474,3.112,27,39691.422
2014-04-16,5142678,True,48.789,17.407,4.266,36,59942.828
2014-04-16,5142678,True,84.054,28.538,2.603,52,413840.625
2014-04-16,5142678,True,113.163,13.054,2.356,28,70597.672
2014-04-16,5142678,True,61.605,15.454,3.335,29,61317.758
2014-04-16,5142678,True,22.856,27.263,3.854,84,699176.625
2014-04-16,5142678,True,66.668,14.543,1.758,20,105002.750
2014-04-16,5142678,True,63.390,25.733,5.345,60,122414.922
2014-04-16,5142678,True,67.363,14.288,3.928,37,118899.914
2014-04-16,5142678,True,60.973,13.545,6.902,59,104626.594
2014-04-16,5142678,True,172.368,12.617,2.532,26,89921.328
2014-04-16,5142678,True,59.314,23.432,5.832,65,180427.234
2014-04-16,5142678,True,62.927,21.435,3.125,32,81430.914
2014-04-16,5142678,True,50.573,64.787,10.121,260,999157.688
2014-04-16,5142678,True,55.441,140.073,3.000,261,1234823.750
2014-04-16,5142678,True,62.589,14.754,1.897,24,67806.750
2014-04-16,5142678,True,84.225,14.749,2.081,20,19199.250
2014-04-16,5142678,True,53.241,21.474,2.043,37,98621.500
2014-04-16,5142678,True,61.804,16.899,2.518,29,88941.758
2014-04-16,5142678,True,81.294,24.127,6.904,61,80878.000
2014-04-16,5142678,True,77.037,14.824,8.032,48,136972.578
2014-04-16,5142678,True,73.160,18.086,1.341,29,128980.344
2014-04-16,5142678,True,63.976,32.277,9.357,66,158534.500
2014-04-16,5142678,True,66.939,16.902,4.216,45,93079.078
2014-04-16,5142678,True,73.572,23.365,5.506,62,164927.750
2014-04-16,5142678,True,78.001,35.538,12.509,91,265309.344
2014-04-16,5142678,True,30.216,13.926,6.765,47,84605.172
2014-04-16,5142678,True,68.702,26.272,3.164,51,160033.656
2014-04-16,5142678,True,142.387,16.909,2.006,24,46717.836
2014-04-16,5142678,True,42.112,14.453,4.855,38,89606.828
2014-04-16,5142678,True,89.202,13.768,2.540,24,56536.582
2014-04-16,5142678,True,77.373,33.532,5.770,64,166670.672
2014-04-16,5142678,True,77.008,23.759,2.738,36,84616.242
2014-04-16,5142678,True,96.813,14.382,6.578,43,106356.258
2014-04-16,5142678,True,76.086,17.974,5.153,51,76802.336
2014-04-16,5142678,True,61.800,17.560,1.618,25,41815.750
2014-04-16,5142678,True,91.141,19.496,15.162,84,213052.344
2014-04-16,5142678,True,12.869,12.215,8.036,42,167061.422
2014-04-16,5142678,True,144.327,19.660,6.359,48,65137.836
2014-04-16,5142678,True,25.024,10.377,5.210,38,98761.758
2014-04-16,5142678,True,52.451,14.645,3.960,34,98063.836
2014-04-16,5142678,True,71.924,18.107,4.973,34,48234.836
2014-04-16,5142678,True,79.043,11.354,1.637,27,118115.086
2014-04-16,5142678,True,76.146,57.490,7.817,134,262866.656
2014-04-16,5142678,True,70.127,16.812,2.139,30,84599.164
2014-04-16,5142678,True,63.749,15.891,1.649,21,78617.000
2014-04-16,5142678,True,72.036,14.267,2.979,23,35665.836
2014-04-16,5142678,True,55.282,35.474,4.888,87,269981.500
2014-04-16,5142678,True,53.629,25.104,5.583,43,86871.078
2014-04-16,5142678,True,119.775,16.185,6.358,54,257528.406
2014-04-16,5142678,True,53.001,15.108,5.511,43,84833.000
2014-04-16,5142678,True,72.579,20.830,1.429,30,44603.500
2014-04-16,5142678,True,75.013,26.051,4.642,44,81752.656
2014-04-16,5142678,True,23.981,13.492,2.906,30,97988.000
2014-04-16,5142678,True,49.542,32.003,5.217,74,194085.906
2014-04-16,5142678,True,60.005,29.476,8.106,77,213979.828
2014-04-16,5142678,True,36.839,14.972,4.742,38,129459.820
2014-04-16,5142678,True,46.799,27.216,3.942,51,323372.500
2014-04-16,5142678,True,89.869,10.581,5.338,40,104407.578
2014-04-16,5142678,True,102.447,14.225,2.019,20,42381.000
2014-04-16,5142678,True,75.652,12.531,8.065,42,122985.422
2014-04-16,5142678,True,62.010,18.594,6.238,39,73028.086
2014-04-16,5142678,True,59.714,18.118,2.276,28,36794.832
2014-04-16,5142678,True,61.621,8.934,3.060,31,151945.188
2014-04-16,5142678,True,76.797,9.533,2.755,27,87760.258
2014-04-16,5142678,True,50.030,18.204,11.156,49,84020.242
2014-04-16,5142678,True,47.587,24.079,4.120,48,83152.250
2014-04-16,5142678,True,20.727,21.656,3.354,36,84725.828
2014-04-16,5142678,True,21.880,13.983,4.833,27,50659.250
2014-04-16,5142678,True,50.961,16.856,5.773,47,233745.281
2014-04-16,5142678,True,58.273,14.769,2.285,25,35499.414
2014-04-16,5142678,True,68.722,13.896,1.410,17,20492.666
2014-04-16,5142678,True,63.802,12.821,2.613,35,134430.078
2014-04-16,5142678,True,78.797,37.664,7.181,103,272029.406
2014-04-16,5142678,True,58.791,21.460,2.911,51,398620.312
2014-04-16,5142678,True,81.575,24.150,3.338,49,189944.500
2014-04-16,5142678,True,65.030,22.767,6.149,60,189786.078
2014-04-16,5142678,True,57.331,15.719,4.849,29,78234.344
2014-04-16,5142678,True,50.599,46.439,5.138,114,434800.688
2014-04-16,5142678,True,45.723,27.629,5.455,54,115301.250
2014-04-16,5142678,True,59.941,59.985,3.608,112,402341.750
2014-04-16,5142678,True,86.325,13.913,4.699,31,110356.516
2014-04-16,5142678,True,179.541,11.185,4.201,31,84206.992
2014-04-16,5142678,True,43.034,18.437,3.809,36,69887.500
2014-04-16,5142678,True,62.428,13.939,1.854,25,37793.664
2014-04-16,5142678,True,85.029,14.333,2.352,21,45437.168
2014-04-16,5142678,True,77.203,16.909,2.370,26,43509.086
2014-04-16,5142678,True,145.302,13.880,4.819,38,166607.078
2014-04-16,5142678,True,62.064,18.238,2.443,47,233238.906
2014-04-16,5142678,True,59.706,23.435,2.990,44,144565.844
2014-04-16,5142678,True,66.096,14.499,1.927,28,249344.594
2014-04-16,5142678,True,108.859,16.801,4.891,33,105940.336
2014-04-16,5142678,True,89.401,12.522,7.973,41,74601.078
2014-04-16,5142678,True,124.295,16.067,5.115,32,110642.414
2014-04-16,5142678,True,53.127,12.802,3.757,28,58322.828
2014-04-16,5142678,True,20.922,6.851,5.307,51,531524.875
2014-04-16,5142678,True,155.937,12.792,4.590,29,34219.582
2014-04-16,5142678,True,38.850,19.736,5.107,30,76691.078
2014-04-16,5142678,True,58.924,26.511,1.774,41,82884.914
2014-04-16,5142678,True,105.947,18.516,7.302,42,125054.984
2014-04-16,5142678,True,140.661,14.317,7.335,49,129421.242
2014-04-16,5142678,True,79.789,27.106,1.167,30,40257.922
2014-04-16,5142678,True,163.898,13.633,7.538,46,100277.250
2014-04-16,5142678,True,42.801,22.674,2.213,28,49368.336
2014-04-16,5142678,True,54.118,20.065,6.350,42,116839.422
2014-04-16,5142678,True,50.465,20.822,4.504,42,79903.664
2014-04-16,5142678,True,118.782,12.918,7.861,31,54622.910
2014-04-16,5142678,True,21.469,14.770,8.589,47,170968.500
2014-04-16,5142678,True,87.381,11.015,5.689,35,114859.672
2014-04-16,5142678,True,49.613,15.442,5.071,34,69512.258
2014-04-16,5142678,True,168.026,14.207,6.837,39,110190.672
2014-04-16,5142678,True,106.978,10.359,3.665,36,139912.828
2014-04-16,5142678,True,68.515,13.907,1.921,28,82990.000
2014-04-16,5142678,True,97.835,19.443,2.988,34,124510.000
2014-04-16,5142678,True,93.779,14.770,7.407,43,175991.938
2014-04-16,5142678,True,73.845,14.604,2.774,28,63300.422
2014-04-16,5142678,True,70.018,20.757,9.303,52,145635.234
2014-04-16,5142678,True,109.583,12.638,11.908,44,165090.328
2014-04-16,5142678,True,119.883,18.777,6.626,48,79778.414
2014-04-16,5142678,True,39.774,15.553,6.534,35,75620.172
2014-04-16,5142678,True,66.390,30.862,3.699,66,278681.500
2014-04-16,5142678,True,52.450,16.416,2.597,31,90799.344
2014-04-16,5142678,True,20.236,15.317,2.462,27,62720.664
2014-04-16,5142678,True,75.191,15.931,3.596,31,104620.406
2014-04-16,5142678,True,74.519,17.526,2.189,47,538496.500
2014-04-16,5142678,True,12.714,14.916,3.142,25,36433.000
2014-04-16,5142678,True,55.929,25.572,9.491,69,122158.016
2014-04-16,5142678,True,58.243,13.776,2.423,29,152283.172
2014-04-16,5142678,True,51.917,15.286,2.438,34,101537.594
2014-04-16,5142678,True,72.719,22.837,19.277,136,460361.062
2014-04-16,5142678,True,69.411,17.653,1.835,34,198985.219
2014-04-16,5142678,True,59.990,15.654,5.135,33,62067.410
2014-04-16,5142678,True,76.272,16.420,3.723,29,72216.164
2014-04-16,5142678,True,51.678,14.187,3.144,33,60048.586
2014-04-16,5142678,True,51.852,17.929,1.158,25,76001.000
2014-04-16,5142678,True,96.537,10.481,4.303,29,68286.164
2014-04-16,5142678,True,50.722,14.354,1.671,26,88823.250
2014-04-16,5142678,True,66.143,22.387,7.563,54,97465.664
2014-04-16,5142678,True,32.172,16.565,6.549,94,395675.625
2014-04-16,5142678,True,168.834,15.838,4.179,33,83155.000
2014-04-16,5142678,True,64.414,29.000,5.600,78,443063.344
2014-04-16,5142678,True,92.631,14.582,3.507,22,35257.500
2014-04-16,5142678,True,52.741,11.797,2.935,43,254889.328
2014-04-16,5142678,True,79.946,15.144,2.929,43,215718.812
2014-04-16,5142678,True,51.463,24.629,4.878,70,212796.594
2014-04-16,5142678,True,14.341,15.023,4.757,33,79355.328
2014-04-16,5142678,True,69.117,11.965,3.239,25,48425.168
2014-04-16,5142678,True,62.278,12.680,5.219,38,110762.578
2014-04-16,5142678,True,67.620,20.171,4.881,50,99694.578
2014-04-16,5142678,True,21.529,12.585,1.987,28,102276.000
2014-04-16,5142678,True,99.195,13.432,4.047,30,59805.492
2014-04-16,5142678,True,61.045,11.802,3.114,29,107809.000
2014-04-16,5142678,True,52.580,24.959,5.089,48,87828.414
2014-04-16,5142678,True,56.997,17.095,1.846,24,38312.164
2014-04-16,5142678,True,71.937,15.032,5.815,34,50666.918
2014-04-16,5142678,True,62.634,19.550,6.234,47,155032.844
2014-04-16,5142678,True,79.193,18.244,2.886,27,63842.332
2014-04-16,5142678,True,79.870,20.169,3.922,24,68504.000
2014-04-16,5142678,True,68.848,13.937,2.608,26,58093.750
2014-04-16,5142678,True,124.894,12.508,5.496,35,92591.078
2014-04-16,5142678,True,90.312,13.828,6.854,46,90566.000
2014-04-16,5142678,True,46.404,19.187,3.307,43,123367.578
2014-04-16,5142678,True,72.067,14.034,2.007,18,57166.254
2014-04-16,5142678,True,64.726,16.620,3.964,47,288271.188
2014-04-16,5142678,True,45.384,17.034,4.693,50,97452.758
2014-04-16,5142678,True,49.744,14.338,4.199,38,92944.336
2014-04-16,5142678,True,52.811,20.724,6.840,60,108388.578
2014-04-16,5142678,True,178.816,10.079,3.340,25,85832.328
2014-04-16,5142678,True,61.227,12.598,10.365,37,66143.250
2014-04-16,5142678,True,91.924,11.880,7.192,33,53194.086
2014-04-16,5142678,True,71.666,27.351,7.435,72,267686.750
2014-04-16,5142678,True,59.037,19.113,2.535,32,76450.250
2014-04-16,5142678,True,60.904,16.316,1.339,24,25737.334
2014-04-16,5142678,True,63.227,31.577,4.886,77,210832.828
2014-04-16,5142678,True,72.139,11.163,7.168,36,132211.672
2014-04-16,5142678,True,90.801,15.850,6.684,44,72637.672
2014-04-16,5142678,True,60.285,11.139,2.905,25,111768.586
2014-04-16,5142678,True,54.510,73.089,4.707,134,788946.625
2014-04-16,5142678,True,65.882,62.055,6.211,149,465490.875
2014-04-16,5142678,True,58.441,16.782,1.712,25,67064.000
2014-04-16,5142678,True,95.924,12.085,7.248,29,38701.664
2014-04-16,5142678,True,74.876,21.887,2.305,27,159326.328
2014-04-16,5142678,True,81.231,9.925,3.291,20,65961.000
2014-04-16,5142678,True,79.033,17.791,3.389,36,86725.078
2014-04-16,5142678,True,61.700,61.566,4.744,178,521082.938
2014-04-16,5142678,True,52.393,21.389,2.976,52,201439.094
2014-04-16,5142678,True,173.849,14.080,3.981,31,76545.836
2014-04-16,5142678,True,55.372,36.992,2.806,70,193803.344
2014-04-16,5142678,True,53.692,18.747,3.571,35,67843.000
2014-04-16,5142678,True,61.182,15.109,1.518,22,44461.832
2014-04-16,5142678,True,62.552,39.670,6.293,77,181109.094
2014-04-16,5142678,True,14.642,11.910,5.472,38,152849.000
2014-04-16,5142678,True,66.216,20.309,5.248,54,149727.734
2014-04-16,5142678,True,67.893,20.623,4.698,47,309664.000
2014-04-16,5142678,True,76.488,12.171,3.125,19,48186.250
2014-04-16,5142678,True,48.621,23.613,11.530,66,142224.406
2014-04-16,5142678,True,78.350,30.684,6.092,60,105288.078
2014-04-16,5142678,True,80.433,13.971,3.654,20,20404.416
2014-04-16,5142678,True,104.061,9.513,5.388,31,121654.906
2014-04-16,5142678,True,75.747,13.232,1.240,22,44292.086
2014-04-16,5142678,True,59.474,23.179,3.617,54,238645.625
2014-04-16,5142678,True,96.491,20.853,1.826,35,359861.844
2014-04-16,5142678,True,37.962,18.623,6.104,57,175960.750
2014-04-16,5142678,True,64.172,21.312,6.099,47,140907.422
2014-04-16,5142678,True,140.918,12.793,9.262,49,111123.344
2014-04-16,5142678,True,70.352,38.139,9.562,106,243718.078
2014-04-16,5142678,True,51.814,29.919,4.832,68,236304.141
2014-04-16,5142678,True,41.891,32.980,2.812,63,329534.719
2014-04-16,5142678,True,60.521,11.223,4.433,32,325367.250
2014-04-16,5142678,True,6.502,11.527,2.442,22,70951.336
2014-04-16,5142678,True,56.144,11.586,3.581,32,117958.000
2014-04-16,5142678,True,83.119,15.913,1.321,26,112070.250
2014-04-16,5142678,True,57.285,18.404,1.361,25,51361.164
2014-04-16,5142678,True,54.679,27.855,1.937,46,104240.656
2014-04-16,5142678,True,40.655,22.148,5.109,53,77338.500
2014-04-16,5142678,True,117.149,13.386,3.871,29,74247.500
2014-04-16,5142678,True,79.661,14.883,1.443,27,247374.594
2014-04-16,5142678,True,56.445,23.921,2.352,39,95658.078
2014-04-16,5142678,True,91.521,11.030,4.530,45,161502.594
2014-04-16,5142678,True,77.378,12.366,4.502,40,294088.750
2014-04-16,5142678,True,80.440,14.387,8.945,48,115691.922
2014-04-16,5142678,True,43.888,12.011,6.021,32,74693.656
2014-04-16,5142678,True,123.353,15.352,10.205,42,89973.336
2014-04-16,5142678,True,99.251,13.814,2.694,22,35583.414
2014-04-16,5142678,True,48.499,16.169,4.632,33,78661.750
2014-04-16,5142678,True,60.996,19.554,3.986,34,96894.250
2014-04-16,5142678,True,74.963,12.014,6.912,40,162852.688
2014-04-16,5142678,True,82.117,22.128,2.409,34,86079.164
2014-04-16,5142678,True,19.731,35.686,2.904,67,153553.734
2014-04-16,5142678,True,70.543,21.172,4.870,52,109502.594
2014-04-16,5142678,True,75.571,17.698,2.613,24,87473.414
2014-04-16,5142678,True,39.987,62.359,6.539,177,242171.094
2014-04-16,5142678,True,51.211,29.135,3.006,42,108468.422
2014-04-16,5142678,True,42.439,37.317,4.487,61,171975.828
2014-04-16,5142678,True,175.679,34.462,6.455,83,61829.000
2014-04-16,5142678,True,64.341,18.648,4.407,48,154320.422
2014-04-16,5142678,True,49.928,13.912,3.131,34,77808.836
2014-04-16,5142678,True,51.067,15.306,9.114,73,268937.156
2014-04-16,5142678,True,64.263,12.448,5.505,49,157569.500
2014-04-16,5142678,True,44.391,44.196,8.696,88,202184.484
2014-04-16,5142678,True,51.434,13.541,1.835,24,97347.500
2014-04-16,5142678,True,96.206,12.407,7.311,37,64189.492
2014-04-16,5142678,True,116.920,14.112,9.659,65,199285.406
2014-04-16,5142678,True,75.695,20.207,5.529,54,124812.656
2014-04-16,5142678,True,63.846,10.904,3.534,29,57411.504
2014-04-16,5142681,True,60.436,38.857,1.922,53,135069.250
2014-04-16,5142681,True,60.154,12.656,3.264,34,58837.672
2014-04-16,5142681,True,155.277,18.505,5.882,41,118636.336
2014-04-16,5142681,True,62.585,15.529,4.054,40,275377.219
