name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014-08-23-502,0.75,1,0.500,4.50,0.250,-0.0300,13.901,0.450,0.550,2.00,8.50,0.75
2014-08-23-503,0.75,1,0.450,5.50,0.000,0.0300,32.742,0.400,0.450,5.50,6.00,0.75
2014-08-23-504,0.75,1,0.400,5.50,-0.050,0.0000,68.434,0.400,0.400,5.50,5.50,1.25
2014-08-23-505,0.75,-1,0.500,5.50,0.000,0.0000,43.659,0.500,0.500,5.50,5.50,1.75
2014-08-23-506,0.75,-1,0.400,6.50,0.050,0.0000,47.909,0.400,0.400,6.00,6.50,0.75
2014-08-23-507,0.75,1,0.250,6.50,-0.250,0.0000,26.645,0.250,0.250,6.50,6.50,0.00
2014-08-23-508,0.75,1,0.350,7.50,0.100,-0.0300,40.579,0.350,0.350,7.50,8.50,0.75
2014-08-23-509,0.75,-1,0.450,6.00,-0.050,-0.0150,58.249,0.450,0.450,6.00,6.00,0.50
2014-08-23-510,0.75,-1,0.650,3.50,0.350,0.0300,5.205,0.550,1.000,2.00,5.00,1.00
2014-08-23-511,0.75,-1,0.500,4.50,-0.050,0.0000,46.247,0.400,0.500,4.50,5.00,0.50
2014-08-23-512,0.75,-1,0.450,3.00,-0.050,0.0000,7.428,0.150,0.500,1.00,3.00,0.00
2014-08-23-513,0.75,1,0.300,9.00,0.150,0.0150,29.755,0.300,0.450,5.50,10.00,1.25
2014-08-23-514,0.75,1,0.250,7.00,-0.050,0.0150,40.713,0.250,0.250,7.00,7.00,0.50
2014-08-23-515,0.75,-1,1.000,1.50,0.050,0.0150,5.537,0.450,1.000,1.00,3.00,0.00
2014-08-23-516,0.75,-1,0.200,5.50,0.000,0.0000,19.122,0.200,0.300,4.50,5.50,0.50
2014-08-23-517,0.75,-1,0.500,5.50,0.000,0.0000,60.438,0.450,0.550,5.50,5.50,1.00
2014-08-23-518,0.75,-1,0.350,6.00,-0.200,-0.0300,21.215,0.350,0.350,5.50,6.50,1.25
2014-08-23-519,0.75,1,0.500,7.00,-0.150,-0.0150,48.972,0.400,0.550,6.50,7.50,1.75
2014-08-23-520,0.75,1,0.450,5.50,-0.050,0.0000,47.806,0.400,0.500,5.00,5.50,2.50
2014-08-23-521,0.75,1,0.450,6.00,-0.150,-0.0300,36.069,0.450,0.550,5.50,6.00,2.00
2014-08-23-522,0.75,-1,0.250,5.00,0.000,0.0300,27.963,0.250,0.300,1.50,5.00,2.25
2014-08-23-523,0.75,-1,0.300,3.50,0.300,-0.0300,38.769,0.300,0.650,3.00,5.50,1.75
2014-08-23-524,0.75,-1,0.700,3.00,0.050,0.0000,22.231,0.500,0.700,3.00,3.00,1.25
2014-08-23-525,0.75,1,0.400,6.00,-0.100,0.0300,31.386,0.350,0.400,5.50,6.50,0.00
2014-08-23-526,0.75,1,0.450,5.50,0.050,-0.0300,18.504,0.400,0.500,5.50,9.00,0.00
2014-08-23-527,0.75,-1,0.500,6.50,-0.150,0.0300,39.377,0.500,0.500,6.00,6.50,0.50
2014-08-23-528,0.75,-1,0.250,5.00,-0.100,0.0000,36.580,0.250,0.500,2.50,5.50,1.50
